"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107522",
"Firmware Version","02.400",
"Date","2022-12-15",
"Time","13:10:36",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Frequency",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,Hz,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,263,,
"Current",,2.332535e+02,,
"Average No.",,1.000000e+03,,
"Min",,2.330464e+02,,
"Max",,2.334530e+02,,
"Mean",,2.332336e+02,,
"StdDev",,5.400560e-02,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.330464e+02,,
"Long term Max",,2.334530e+02,,
"Long term Mean",,2.332345e+02,,
"Long term StdDev",,5.411200e-02,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,2.332022e+02,
2,,2.332516e+02,
3,,2.331870e+02,
4,,2.332478e+02,
5,,2.332896e+02,
6,,2.332022e+02,
7,,2.332041e+02,
8,,2.331623e+02,
9,,2.331034e+02,
10,,2.331604e+02,
11,,2.332421e+02,
12,,2.332554e+02,
13,,2.332136e+02,
14,,2.332307e+02,
15,,2.332155e+02,
16,,2.332136e+02,
17,,2.332288e+02,
18,,2.332003e+02,
19,,2.331414e+02,
20,,2.331509e+02,
21,,2.332858e+02,
22,,2.331452e+02,
23,,2.332820e+02,
24,,2.331775e+02,
25,,2.332212e+02,
26,,2.332117e+02,
27,,2.332668e+02,
28,,2.332554e+02,
29,,2.332839e+02,
30,,2.332516e+02,
31,,2.331490e+02,
32,,2.332003e+02,
33,,2.331718e+02,
34,,2.332535e+02,
35,,2.333105e+02,
36,,2.332706e+02,
37,,2.332687e+02,
38,,2.332744e+02,
39,,2.332478e+02,
40,,2.332611e+02,
41,,2.332060e+02,
42,,2.332098e+02,
43,,2.332155e+02,
44,,2.332611e+02,
45,,2.333010e+02,
46,,2.331756e+02,
47,,2.332193e+02,
48,,2.332839e+02,
49,,2.331661e+02,
50,,2.332630e+02,
51,,2.332250e+02,
52,,2.332706e+02,
53,,2.332250e+02,
54,,2.332953e+02,
55,,2.331433e+02,
56,,2.332383e+02,
57,,2.331395e+02,
58,,2.331661e+02,
59,,2.332516e+02,
60,,2.331585e+02,
61,,2.331661e+02,
62,,2.331984e+02,
63,,2.332155e+02,
64,,2.332345e+02,
65,,2.332497e+02,
66,,2.331661e+02,
67,,2.331813e+02,
68,,2.332003e+02,
69,,2.332592e+02,
70,,2.332459e+02,
71,,2.332231e+02,
72,,2.331756e+02,
73,,2.331775e+02,
74,,2.332174e+02,
75,,2.332288e+02,
76,,2.332193e+02,
77,,2.332725e+02,
78,,2.332098e+02,
79,,2.332459e+02,
80,,2.331794e+02,
81,,2.332573e+02,
82,,2.332402e+02,
83,,2.332326e+02,
84,,2.332155e+02,
85,,2.331547e+02,
86,,2.330464e+02,
87,,2.330768e+02,
88,,2.331205e+02,
89,,2.332212e+02,
90,,2.332440e+02,
91,,2.332003e+02,
92,,2.332212e+02,
93,,2.332554e+02,
94,,2.332022e+02,
95,,2.332421e+02,
96,,2.331756e+02,
97,,2.332060e+02,
98,,2.331756e+02,
99,,2.332022e+02,
100,,2.332668e+02,
101,,2.332288e+02,
102,,2.332383e+02,
103,,2.332383e+02,
104,,2.331737e+02,
105,,2.331832e+02,
106,,2.332478e+02,
107,,2.332383e+02,
108,,2.331737e+02,
109,,2.332554e+02,
110,,2.331813e+02,
111,,2.331205e+02,
112,,2.331509e+02,
113,,2.331832e+02,
114,,2.331984e+02,
115,,2.331775e+02,
116,,2.331604e+02,
117,,2.333694e+02,
118,,2.331737e+02,
119,,2.332478e+02,
120,,2.331965e+02,
121,,2.331281e+02,
122,,2.331794e+02,
123,,2.331965e+02,
124,,2.332136e+02,
125,,2.332117e+02,
126,,2.332003e+02,
127,,2.332231e+02,
128,,2.331889e+02,
129,,2.331870e+02,
130,,2.332022e+02,
131,,2.331984e+02,
132,,2.331604e+02,
133,,2.332687e+02,
134,,2.332174e+02,
135,,2.332250e+02,
136,,2.332535e+02,
137,,2.332763e+02,
138,,2.332288e+02,
